Estado,Id de contacto,Id. de la oportunidad,Financiador: Nombre de la cuenta,Etapa,Etapa del Cr_dito,Situacion del Cliente,Potencia Instalada (W),Precio de Contado (Venta),Importe,Anticipo,Monto Mensualidad,Frecuencia Programada de Pagos (en dias),Numero de Pagos Programados,Number of Payments,Saldo Pagado,Saldo Total,Saldo Atrasado,Plazo del Credito (meses),Meses Transcurridos,Cantidad de Pagos realizados,% Pagado,Porcentaje de Pago a la Fecha,Rating Interno Credito,Nombre de la cuenta: Nombre de la cuenta
Nuevo Le—n,0031M00002jCrRF,0061M00000yd8rb,ILUMEXICO Financiador,Vendido,Cobrando,Deudor PAR 60,0,6500,7120,2500,770,30,6,7,3270,3850,3850,6,9,2,45.93,45.93,0,Aramberri ILUCentro
Nuevo Le—n,0031M00002ouGjG,0061M00000xWjnh,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR30,325,2660,2660,380,190,30,12,13,1180,1480,340,12,6,3,44.36,77.63,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002gMjhL,0061M00000zePGD,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,0,6100,6100,6100,0,30,1,2,6100,0,0,1,5,1,100,100,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNfvx,0061M00000xWkjk,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,380,2280,1140,12,6,1,14.29,25,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002lOkh5,0061M00000ycnLN,ILUMEXICO Financiador,Vendido,Pagado,Deudor PAR 60,0,6900,6900,6900,0,30,1,2,6899,1,1,1,9,1,99.99,99.99,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNhB4,0061M00000xWl3f,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2090,2090,1,174.08,365,1,3,1000,1090,45.5,12,6,2,47.85,95.65,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002lOkhZ,0061M00000yd8mM,ILUMEXICO Financiador,Vendido,Cobrando,Deudor PAR 60,0,6100,6720,2100,770,30,6,7,3063.35,3656.65,3656.65,6,9,3,45.59,45.59,0,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNfvO,0061M00000xWkjL,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR30,325,2660,2660,380,190,60,6,7,1140,1520,380,12,6,3,42.86,75,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pQcmJ,0061M00000zeHPE,ILUMEXICO Financiador,Pagado,Pagado,Cr_dito Sano,640,71300,71300,71300,0,30,1,2,71300,0,0,1,5,1,100,100,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNfvs,0061M00000xWkjf,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,380,2280,1140,12,6,1,14.29,25,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002tAp4n,0061M00000z4eFY,FSUE Ronda 1d,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,0,2660,570,12,1,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNfw7,0061M00000xWkjp,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,380,190,60,6,7,0,2660,1520,12,6,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002tAp4d,0061M00000z4eFO,FSUE Ronda 1d,Vendido,Cobrando,Deudor PAR30,325,2090,2090,1,174.08,365,1,2,0,2090,175.08,12,1,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNfAa,0061M00000xWkJa,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,570,2090,950,12,6,2,21.43,37.5,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sD6oo,0061M00000z4KNJ,FSUE Ronda 1d,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,0,2660,570,12,1,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNhAz,0061M00000xWl3a,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,380,2280,1140,12,6,1,14.29,25,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sCZDd,0061M00000z46US,FSUE Ronda 1d,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,830,152.5,30,12,13,570,2090,412.5,12,1,2,21.43,58.02,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pNfvi,0061M00000xWkja,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,380,190,30,12,13,200,2460,1320,12,6,1,7.52,13.16,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002tAkKH,0061M00000z4ath,FSUE Ronda 1d,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,380,2280,190,12,1,1,14.29,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ouGju,0061M00000xWjo6,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,1,174.08,365,1,2,2090,0,-1044.5,12,6,2,100,199.9,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002sCdgK,0061M00000z48JY,FSUE Ronda 1d,Pagado,Pagado,Cr_dito Sano,325,2090,2090,1,174.08,365,1,2,2090,0,-1914.92,12,1,1,100,1193.72,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ouGjk,0061M00000xWjnw,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,1,174.08,365,1,2,2090,0,-1044.5,12,6,2,100,199.9,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002ouGjV,0061M00000xWjnm,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,1370,1290,150,12,6,3,51.5,90.13,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot93a,0061M00000xW6t6,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,950,1710,760,12,7,2,35.71,55.56,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pPJIv,0061M00000zdO4S,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,570,2090,950,12,6,1,21.43,37.5,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otB67,0061M00000xW8A0,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,1710,950,0,12,7,8,64.29,100,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otBEG,0061M00000xW8Eq,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pOzsq,0061M00000zdGJi,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,740,1920,780,12,6,3,27.82,48.68,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pPLN3,0061M00000zdP7f,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,1,221.58,365,1,2,0,2660,1552.08,12,7,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pOztK,0061M00000zdGLK,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,1006,1654,514,12,6,2,37.82,66.18,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002pPJc7,0061M00000zdOFB,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2090,2090,1,174.08,365,1,2,500,1590,545.5,12,6,1,23.92,47.82,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otxlK,0061M00000xWd9M,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2260,2260,380,156.67,30,12,13,190,2070,1130,12,6,1,8.41,14.39,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otxlj,0061M00000xWd9W,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2260,2260,380,156.67,30,12,13,0,2260,1320,12,6,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otxly,0061M00000xWd9b,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2260,2260,380,13.06,365,12,13,380,1880,78.33,144,6,1,16.81,82.91,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otfAr,0061M00000xWIsC,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,1,174.08,365,1,4,2240,-150,-1020.42,12,7,4,107.18,183.67,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002otfn5,0061M00000xWJ8j,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2260,2260,380,156.67,30,12,13,490,1770,986.67,12,7,2,21.68,33.18,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otfnA,0061M00000xWJ8o,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2260,2260,380,156.67,30,12,13,1006,1254,470.67,12,7,2,44.51,68.13,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otfB6,0061M00000xWIsM,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,1,174.08,365,1,2,2090,0,-870.42,12,7,1,100,171.37,3,Aramberri ILUCentro
Nuevo Le—n,0031M00002otfn0,0061M00000xWJ8e,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2260,2260,380,156.67,30,12,13,200,2060,1276.67,12,7,1,8.85,13.54,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002otfAh,0061M00000xWIs7,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,1140,1520,570,12,7,3,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7c2,0061M00000xW6ZV,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7dA,0061M00000xW6aJ,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7d5,0061M00000xW6aE,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7cR,0061M00000xW6Zu,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,380,190,60,6,7,380,2280,1330,12,7,1,14.29,22.22,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7bs,0061M00000xW6ZQ,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot4A3,0061M00000xW55q,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,1520,1140,190,12,7,7,57.14,88.89,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7d0,0061M00000xW6a9,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7cv,0061M00000xW6a4,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7cb,0061M00000xW6Zz,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7cM,0061M00000xW6Zp,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,380,190,60,6,7,380,2280,1330,12,7,1,14.29,22.22,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot49j,0061M00000xW55l,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,1260,1400,450,12,7,4,47.37,73.68,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7cC,0061M00000xW6Zk,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,380,190,60,6,7,0,2660,1710,12,7,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7c7,0061M00000xW6Zf,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,380,190,30,12,13,0,2660,1710,12,7,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7bn,0061M00000xW6ZL,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot49P,0061M00000xW55W,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,380,190,30,12,13,0,2660,1710,12,7,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot7dP,0061M00000xW6aT,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,60,6,7,1140,1520,570,12,7,2,42.86,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002ot49e,0061M00000xW55g,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,1520,1140,190,12,7,7,57.14,88.89,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sCcmb,0061M00000z47yz,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,570,2090,0,12,1,3,21.43,100,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sCZWk,0061M00000z46Wn,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,600,2060,-30,12,1,2,22.56,105.26,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sCieA,0061M00000z49f7,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,380,2280,190,12,1,1,14.29,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sBMKm,0061M00000z3TJD,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,570,2090,190,12,2,2,21.43,75,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sBMhv,0061M00000z3TSS,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,570,2090,190,12,2,2,21.43,75,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sBMUh,0061M00000z3TO0,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,0,174.17,365,1,2,2090,0,-1741.67,12,2,1,100,600,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sBMKN,0061M00000z3TJ3,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR30,325,2660,2660,380,95,60,12,13,380,2280,190,24,2,1,14.29,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sBMJe,0061M00000z3TIP,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,760,1900,-190,24,2,2,28.57,133.33,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sBMiF,0061M00000z3TSb,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,570,2090,190,12,2,2,21.43,75,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sBMJt,0061M00000z3TIe,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,760,1900,-190,24,2,2,28.57,133.33,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sAJnk,0061M00000z33ST,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,2090,0,365,1,2,2090,0,0,12,2,1,100,100,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sAJnQ,0061M00000z33SJ,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR30,325,2660,2660,380,95,60,12,13,380,2280,190,24,2,1,14.29,66.67,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sAJoO,0061M00000z33Ss,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,0,174.17,365,1,2,2090,0,-1741.67,12,2,1,100,600,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sAJp7,0061M00000z33TR,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,570,2090,190,12,2,2,21.43,75,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sAJoi,0061M00000z33T2,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,570,2090,190,12,2,2,21.43,75,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002sAJo9,0061M00000z33Sn,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,0,174.17,365,1,2,2090,0,-1741.67,12,2,1,100,600,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002s9o9i,0061M00000z2ors,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,0,174.17,365,1,2,2090,0,-1741.67,12,2,1,100,600,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002s9o9n,0061M00000z2orx,FSUE Ronda 1.5,Pagado,Pagado,Cr_dito Sano,325,2090,2090,0,174.17,365,1,2,2100,-10,-1751.67,12,2,1,100.48,602.87,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qyeXD,0061M000010FvIq,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,0,2660,950,12,3,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qyeXN,0061M000010FvIv,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,0,2660,950,12,3,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qyAbg,0061M000010Fd88,FSUE Ronda 1.5,Vendido,Cobrando,Moroso,325,2660,2660,380,95,60,12,13,0,2660,665,24,3,0,0,0,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qy3bZ,0061M000010FZBo,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,95,60,12,13,380,2280,285,24,3,1,14.29,57.14,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qy3bo,0061M000010FZCD,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,980,1680,-30,12,3,4,36.84,103.16,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qy3be,0061M000010FZC3,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,760,1900,190,12,3,2,28.57,80,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qy3bU,0061M000010FZBj,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,95,60,12,13,380,2280,285,24,3,1,14.29,57.14,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qyAbv,0061M000010Fd8D,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,760,1900,-95,24,3,2,28.57,114.29,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlxT,0061M00000zgWOV,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,380,2280,760,12,4,1,14.29,33.33,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlzP,0061M00000zgWPs,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,1140,1520,-380,24,4,2,42.86,150,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlxx,0061M00000zgWOp,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,380,2280,760,12,4,1,14.29,33.33,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlxO,0061M00000zgWOL,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,95,60,12,13,380,2280,380,24,4,2,14.29,50,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlyH,0061M00000zgWP9,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,95,60,12,13,380,2280,380,24,4,1,14.29,50,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlyl,0061M00000zgWPJ,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,760,1900,0,24,4,2,28.57,100,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlyq,0061M00000zgWPT,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,760,1900,0,24,4,2,28.57,100,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFly7,0061M00000zgWP4,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,14,760,1900,0,24,4,3,28.57,100,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlz0,0061M00000zgWPY,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,1140,1520,-380,24,4,3,42.86,150,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlyR,0061M00000zgWPE,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,1140,1520,-380,24,4,3,42.86,150,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlxi,0061M00000zgWOf,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,190,30,12,13,980,1680,160,12,4,3,36.84,85.96,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qFlzK,0061M00000zgWPn,FSUE Ronda 1.5,Vendido,Cobrando,Cr_dito Sano,325,2660,2660,380,95,60,12,13,1140,1520,-380,24,4,3,42.86,150,No Disponible,Aramberri ILUCentro
Nuevo Le—n,0031M00002qE3lr,0061M00000zffKz,FSUE Ronda 1.5,Vendido,Cobrando,Deudor PAR 60,325,2660,2660,380,190,30,12,13,590,2070,740,12,5,2,22.18,44.36,No Disponible,Aramberri ILUCentro
